year,cluster,country,countries_share,medoid,total_articles,total_articles_share,mean_distance,n_stayed
1971,0,52,0.23853211009174313,NL,147471.0,0.7960690745968939,0.4334888340274695,
1971,1,25,0.11467889908256881,GE,4536.0,0.024485962137447435,0.5832114682149295,
1971,2,68,0.3119266055045872,MY,33194.0,0.17918585255520947,0.4650788918573161,
1971,3,11,0.05045871559633028,SC,34.0,0.00018353675323483528,0.7528001184979414,
1971,4,9,0.04128440366972477,SO,14.0,7.557395721434394e-05,0.7896708129352797,
1972,0,87,0.39908256880733944,AU,183923.0,0.916202147002416,0.41902272421094305,33.0
1972,1,37,0.16972477064220184,RU,16534.0,0.08236319709083663,0.52748182211531,17.0
1972,2,20,0.09174311926605505,PA,190.0,0.0009464743829236096,0.6304384673504505,9.0
1972,3,12,0.05504587155963303,MM,47.0,0.0002341278736705771,0.6809958886375241,6.0
1972,4,11,0.05045871559633028,VI,51.0,0.0002540536501531794,0.7397191517118512,1.0
1973,0,72,0.3302752293577982,NL,198634.0,0.9372932621754128,0.4194965823247272,51.0
1973,1,21,0.0963302752293578,OM,5220.0,0.02463158788805368,0.6056476146734405,11.0
1973,2,50,0.22935779816513763,UG,7913.0,0.037339033516890566,0.5163888199461267,9.0
1973,3,15,0.06880733944954129,GY,101.0,0.0004765881947688547,0.7038060962223089,2.0
1973,4,13,0.05963302752293578,GD,55.0,0.0002595282248741288,0.6806403123162499,4.0
1974,0,79,0.3623853211009174,BE,212858.0,0.967716710841566,0.4207957033862724,55.0
1974,1,26,0.11926605504587157,UA,5067.0,0.02303611127528312,0.5699997951035721,12.0
1974,2,39,0.17889908256880735,SN,1874.0,0.00851976959342423,0.5521962137575731,23.0
1974,3,8,0.03669724770642202,GI,20.0,9.092603621584023e-05,0.7713250320548678,2.0
1974,4,17,0.0779816513761468,AS,140.0,0.0006364822535108816,0.6751854102185616,5.0
1975,0,78,0.3577981651376147,IL,209930.0,0.9446306837356852,0.4161518340890248,59.0
1975,1,20,0.09174311926605505,GE,4973.0,0.02237721331023466,0.599753723427695,11.0
1975,2,41,0.18807339449541285,TH,7081.0,0.03186266789659595,0.5369569197430474,18.0
1975,3,20,0.09174311926605505,BS,207.0,0.0009314464418295948,0.628833820704699,1.0
1975,4,13,0.05963302752293578,TD,44.0,0.00019798861565459985,0.7090071634912205,3.0
1976,0,70,0.3211009174311927,AU,196643.0,0.8371563343465563,0.4120550305764657,48.0
1976,1,43,0.19724770642201836,SI,36431.0,0.15509548988054186,0.5112044676912182,14.0
1976,2,29,0.13302752293577982,UG,1749.0,0.007445911772969935,0.5557418502116226,12.0
1976,3,14,0.06422018348623854,GL,38.0,0.00016177509855509295,0.7571016658084941,8.0
1976,4,10,0.045871559633027525,GI,33.0,0.00014048890137679124,0.7476004020625368,1.0
1977,0,65,0.2981651376146789,AU,191734.0,0.7625316173780246,0.4064762412062588,46.0
1977,1,51,0.23394495412844038,PL,58407.0,0.23228631424889837,0.4673394806949114,33.0
1977,2,25,0.11467889908256881,BB,1074.0,0.00427132880482334,0.49897275251176537,5.0
1977,3,13,0.05963302752293578,DJ,145.0,0.0005766691589379742,0.7642856852137963,6.0
1977,4,18,0.08256880733944955,BF,84.0,0.000334070409315792,0.675051954578487,6.0
1978,0,53,0.24311926605504589,AU,201496.0,0.7554079283791586,0.4026609773187997,42.0
1978,1,47,0.21559633027522937,PL,63121.0,0.2366404486799781,0.4768056719127147,35.0
1978,2,33,0.15137614678899083,EC,1461.0,0.005477284826308962,0.5735300851502126,12.0
1978,3,10,0.045871559633027525,FO,40.0,0.00014995988573056706,0.7106915015797046,
1978,4,31,0.14220183486238533,KE,620.0,0.0023243782288237896,0.5550435200526211,8.0
1979,0,57,0.26146788990825687,AU,209940.0,0.7514684668883536,0.41972796425209596,41.0
1979,1,54,0.24770642201834864,SK,67194.0,0.24051715806466623,0.5073035294709815,38.0
1979,2,36,0.1651376146788991,PA,1812.0,0.006485952472142977,0.5332383036029567,16.0
1979,3,11,0.05045871559633028,SR,74.0,0.0002648788537188633,0.7553951849635123,2.0
1979,4,22,0.10091743119266056,SN,353.0,0.0012635437211183614,0.6304410537681042,13.0
1980,0,68,0.3119266055045872,AU,224983.0,0.7499458331527772,0.4052417384673555,44.0
1980,1,42,0.1926605504587156,SK,73815.0,0.24605082016940055,0.4930375899987692,38.0
1980,2,19,0.0871559633027523,PS,159.0,0.0005300017666725556,0.7243032812682295,7.0
1980,3,15,0.06880733944954129,LR,428.0,0.0014266714222380742,0.6102725896184868,1.0
1980,4,29,0.13302752293577982,MU,614.0,0.0020466734889116297,0.5521564174990474,13.0
1981,0,79,0.3623853211009174,AU,239055.0,0.7459745366036323,0.44298699090719623,47.0
1981,1,46,0.21100917431192662,CN,78710.0,0.24561567746364601,0.4888655332781239,37.0
1981,2,34,0.1559633027522936,CO,2641.0,0.008241278162641204,0.5192436424712769,7.0
1981,3,10,0.045871559633027525,SB,22.0,6.865131373650378e-05,0.7812713459169124,3.0
1981,4,9,0.04128440366972477,TG,32.0,9.985645634400549e-05,0.7490930304169685,4.0
1982,0,76,0.3486238532110092,AU,244934.0,0.7481619275400833,0.4381099626900655,59.0
1982,1,60,0.27522935779816515,CN,81300.0,0.24833450933316228,0.49453930025974735,38.0
1982,2,27,0.12385321100917432,CR,1083.0,0.0033080722460985825,0.535523415974446,19.0
1982,3,15,0.06880733944954129,ST,52.0,0.00015883634053289592,0.742508371621401,3.0
1982,4,5,0.022935779816513763,SR,12.0,3.665454012297598e-05,0.8099337163980264,2.0
