medoid,cluster,year
AU,0,1971
SC,2,1971
UA,1,1971
VI,2,1972
AU,0,1972
RU,1,1972
GY,2,1973
IN,1,1973
PT,0,1973
PW,2,1974
ZA,0,1974
RU,1,1974
RU,1,1975
JM,0,1975
AF,2,1975
BE,0,1976
NP,1,1976
GY,2,1976
DJ,2,1977
NG,0,1977
FR,1,1977
MX,1,1978
GW,2,1978
DE,0,1978
SK,1,1979
AU,0,1979
PA,2,1979
MY,0,1980
AO,2,1980
SK,1,1980
CL,0,1981
CN,1,1981
NC,2,1981
PY,2,1982
CN,1,1982
AU,0,1982
RU,1,1983
GH,2,1983
AU,0,1983
RU,1,1984
NZ,0,1984
RE,2,1984
SM,1,1985
TR,0,1985
SD,2,1985
TW,1,1986
AU,0,1986
DO,2,1986
CN,1,1987
MV,2,1987
AU,0,1987
MY,0,1988
RO,1,1988
PE,2,1988
RS,1,1989
AU,0,1989
DO,2,1989
NG,1,1990
DE,0,1990
BO,2,1990
GR,1,1991
AU,0,1991
GH,2,1991
PE,2,1992
RS,1,1992
MY,0,1992
GR,1,1993
UY,0,1993
DM,2,1993
RU,1,1994
CO,2,1994
BE,0,1994
AU,0,1995
PE,2,1995
CN,1,1995
CN,1,1996
IE,0,1996
PE,2,1996
IE,0,1997
LU,2,1997
AZ,1,1997
DK,0,1998
BW,2,1998
SK,1,1998
IE,0,1999
SK,1,1999
RE,2,1999
IE,0,2000
LU,2,2000
CN,1,2000
CN,1,2001
PE,2,2001
IE,0,2001
PE,2,2002
CN,1,2002
IE,0,2002
CN,1,2003
GB,0,2003
PE,2,2003
PH,0,2004
JO,1,2004
MS,2,2004
CN,1,2005
PE,2,2005
DK,0,2005
CN,1,2006
NL,0,2006
BO,2,2006
TD,2,2007
BG,1,2007
PH,0,2007
CN,1,2008
AU,0,2008
PE,2,2008
CN,1,2009
PE,2,2009
NL,0,2009
DJ,2,2010
JO,1,2010
PH,0,2010
CN,1,2011
CR,2,2011
DK,0,2011
DZ,1,2012
AU,0,2012
BO,2,2012
ZA,2,2013
BG,0,2013
PY,1,2013
FI,0,2014
BO,2,2014
CG,1,2014
SV,1,2015
BG,0,2015
ZM,2,2015
AT,0,2016
CL,2,2016
GP,1,2016
VE,2,2017
AT,0,2017
CG,1,2017
AT,0,2018
ZW,2,2018
PY,1,2018
BG,1,2019
ZW,2,2019
IE,0,2019
SE,0,2020
CF,1,2020
AF,2,2020
MY,1,2021
MD,2,2021
NL,0,2021
RO,0,2022
CL,2,2022
NP,1,2022
AT,1,2023
AF,2,2023
AU,0,2023
