medoid,cluster,year
MW,2,1971
SC,3,1971
AU,0,1971
BY,1,1971
VI,3,1972
RU,1,1972
AU,0,1972
PA,2,1972
RU,1,1973
GY,2,1973
AU,0,1973
CD,3,1973
CM,3,1974
AS,2,1974
RU,1,1974
AU,0,1974
GE,1,1975
BE,0,1975
NG,3,1975
AF,2,1975
AU,0,1976
GY,2,1976
SI,1,1976
GI,3,1976
PL,1,1977
BF,3,1977
NI,2,1977
NZ,0,1977
AU,0,1978
EC,2,1978
IN,1,1978
GA,3,1978
CM,2,1979
SK,1,1979
SR,3,1979
AU,0,1979
MU,2,1980
SK,1,1980
ZA,0,1980
PS,3,1980
CL,0,1981
TG,2,1981
NC,3,1981
CN,1,1981
ST,2,1982
AU,0,1982
CR,3,1982
CN,1,1982
GH,3,1983
IL,0,1983
AF,2,1983
RU,1,1983
RU,1,1984
MR,2,1984
BO,3,1984
BE,0,1984
SM,2,1985
US,0,1985
BG,1,1985
SD,3,1985
TW,1,1986
AU,0,1986
DO,2,1986
HT,3,1986
CN,1,1987
RW,3,1987
ZA,0,1987
MV,2,1987
WS,3,1988
MY,0,1988
PE,2,1988
RO,1,1988
DO,2,1989
BE,0,1989
SN,3,1989
RO,1,1989
NE,3,1990
AU,0,1990
SV,2,1990
RO,1,1990
GR,1,1991
AU,0,1991
ME,3,1991
GH,2,1991
CO,2,1992
MY,0,1992
TO,3,1992
RS,1,1992
GR,1,1993
AU,0,1993
DM,3,1993
ML,2,1993
RU,1,1994
BO,3,1994
BE,0,1994
ML,2,1994
AU,0,1995
PE,3,1995
SB,2,1995
CN,1,1995
CN,1,1996
GN,2,1996
PE,3,1996
CA,0,1996
US,0,1997
LU,3,1997
GM,2,1997
AZ,1,1997
IE,0,1998
BW,3,1998
TD,2,1998
SK,1,1998
BO,3,1999
AF,2,1999
DK,0,1999
CN,1,1999
LU,3,2000
GM,2,2000
CN,1,2000
BD,0,2000
CN,1,2001
NI,3,2001
GI,2,2001
IE,0,2001
RU,1,2002
UY,3,2002
RE,2,2002
CA,0,2002
CN,1,2003
ST,3,2003
RE,2,2003
BR,0,2003
NL,0,2004
CO,2,2004
BT,3,2004
TW,1,2004
CN,1,2005
US,0,2005
GH,2,2005
GA,3,2005
CN,1,2006
CO,2,2006
AW,3,2006
NL,0,2006
JO,1,2007
TD,3,2007
ZM,2,2007
BE,0,2007
AF,3,2008
NL,0,2008
CO,2,2008
CN,1,2008
SV,3,2009
PH,2,2009
CA,0,2009
TW,1,2009
AU,0,2010
SK,1,2010
DJ,3,2010
BO,2,2010
ZA,2,2011
BT,3,2011
IE,0,2011
CN,1,2011
BO,2,2012
FR,0,2012
CU,3,2012
CN,1,2012
PY,3,2013
SG,1,2013
BE,0,2013
SS,2,2013
BE,0,2014
BO,2,2014
SG,1,2014
TG,3,2014
DK,0,2015
BO,2,2015
CG,3,2015
MN,1,2015
SG,1,2016
ZW,2,2016
AU,0,2016
MQ,3,2016
CO,2,2017
SS,1,2017
CG,3,2017
AT,0,2017
BG,0,2018
ZA,2,2018
MZ,1,2018
PY,3,2018
BG,1,2019
AL,2,2019
IE,0,2019
LS,3,2019
AG,3,2020
AU,0,2020
MY,1,2020
AF,2,2020
MY,1,2021
MD,2,2021
CF,3,2021
AU,0,2021
MN,1,2022
CL,2,2022
GM,3,2022
CA,0,2022
AT,1,2023
AF,2,2023
AG,3,2023
AU,0,2023
