index,country,from_start,diag
1970,AE,0.0,0.0
1971,AE,0.4917859035506094,0.4917859035506094
1972,AE,0.5112227977503119,0.12798003787992668
1973,AE,0.32017990841520255,0.24123875736778952
1974,AE,0.5050344462109169,0.23175437881320235
1975,AE,0.24220228631993343,0.27939283821636757
1976,AE,0.40001461908155617,0.16901877246704833
1977,AE,0.5193163751987281,0.14796520658589624
1978,AE,0.38657733363615704,0.17554697554697557
1979,AE,0.4130337768108666,0.06776400460610987
1980,AE,0.5093776641091219,0.12420887706928893
1981,AE,0.4481255448997384,0.1352614886976738
1982,AE,0.3518518518518518,0.1818485151818485
1983,AE,0.5589882410232172,0.2487262036811586
1984,AE,0.437766410912191,0.1495537841013752
1985,AE,0.3520017343546755,0.3584730976035323
1986,AE,0.37495784554608075,0.20556920556920552
1987,AE,0.5774926186690893,0.28113958113958115
1988,AE,0.4063169051404345,0.3409523809523809
1989,AE,0.49959724430312663,0.22270270270270265
1990,AE,0.39919832222710816,0.20902434349242863
1991,AE,0.5385606194429723,0.16880976721402247
1992,AE,0.4551508029768899,0.12218740479610038
1993,AE,0.4742906658645927,0.14445114915150167
1994,AE,0.31033386327503976,0.19631523415307195
1995,AE,0.4063457002030661,0.16291242336887418
1996,AE,0.32486422734100756,0.10277847213105708
1997,AE,0.3379901439188146,0.045138383306638614
1998,AE,0.37070785070785073,0.07114016153386236
1999,AE,0.37090620031796495,0.09423423423423427
2000,AE,0.4228733208912237,0.10401488444966701
2001,AE,0.4239941298764828,0.07479887914670517
2002,AE,0.5180754283695459,0.16191196852961556
2003,AE,0.5221407553063899,0.08076695116168796
2004,AE,0.5186445636813284,0.045430298719772395
2005,AE,0.5050066211093869,0.061766103066073275
2006,AE,0.5214782869947296,0.029451077371698248
2007,AE,0.5571271238376068,0.07814019755910404
2008,AE,0.5477619720423225,0.06347525555893554
2009,AE,0.5613505228289194,0.0798169517808004
2010,AE,0.5170293353620671,0.06448433340229857
2011,AE,0.569564260499651,0.05711419958629056
2012,AE,0.5291213792415339,0.044799509348325724
2013,AE,0.5390357677939377,0.027698416674374057
2014,AE,0.5026037751893137,0.04630685520061325
2015,AE,0.5125490713726008,0.061812820408808956
2016,AE,0.5273936862559153,0.04608105430473852
2017,AE,0.5397720790643584,0.028001685896422775
2018,AE,0.5393380019470203,0.033417844599331184
2019,AE,0.5238721199296918,0.02822738504663466
2020,AE,0.49816880975986677,0.02873906135074392
2021,AE,0.46408088074879694,0.03777708917094109
2022,AE,0.49621197009212836,0.062125382556846104
1970,AF,0.0,0.0
1971,AF,0.8018018018018018,0.8018018018018018
