year,cluster,country,countries_share,medoid,total_articles,total_articles_share,mean_distance,n_stayed
1971,0,95,0.43577981651376146,AU,179823.0,0.9707096934396408,0.4281054186024934,
1971,1,32,0.14678899082568808,BY,5195.0,0.028043336266322626,0.5553073943219695,
1971,2,27,0.12385321100917432,MW,197.0,0.0010634335408018396,0.6449724685917322,
1971,3,11,0.05045871559633028,SC,34.0,0.00018353675323483528,0.7528001184979414,
1972,0,97,0.44495412844036697,AU,183960.0,0.91638646043488,0.4473784546015838,77.0
1972,1,37,0.16972477064220184,RU,16534.0,0.08236319709083663,0.52748182211531,22.0
1972,2,20,0.09174311926605505,PA,190.0,0.0009464743829236096,0.6304384673504505,8.0
1972,3,13,0.05963302752293578,VI,61.0,0.00030386809135968517,0.720625249421467,2.0
1973,0,95,0.43577981651376146,AU,200114.0,0.9442769307720257,0.4327896115208756,76.0
1973,1,34,0.1559633027522936,RU,11516.0,0.05434049159364486,0.549148927672511,22.0
1973,2,15,0.06880733944954129,GY,101.0,0.0004765881947688547,0.7038060962223089,6.0
1973,3,27,0.12385321100917432,CD,192.0,0.0009059894395605951,0.6594089725033939,8.0
1974,0,81,0.37155963302752293,AU,207889.0,0.9451261371437404,0.4203251453345809,64.0
1974,1,35,0.16055045871559634,RU,11191.0,0.0508776635645734,0.539116327131138,21.0
1974,2,18,0.08256880733944955,AS,147.0,0.0006683063661864256,0.6687722457375476,2.0
1974,3,35,0.16055045871559634,CM,732.0,0.003327892925499752,0.6369700331983286,11.0
1975,0,70,0.3211009174311927,BE,209125.0,0.941008392017459,0.42013704364043086,47.0
1975,1,22,0.10091743119266056,GE,4981.0,0.02241321124035368,0.5945628067722581,12.0
1975,2,19,0.0871559633027523,AF,180.0,0.0008099534276779085,0.6521278042094271,3.0
1975,3,61,0.2798165137614679,NG,7949.0,0.035768443314509415,0.5472707818466176,19.0
1976,0,95,0.43577981651376146,AU,198382.0,0.8445596737251696,0.44619562023433446,47.0
1976,1,43,0.19724770642201836,SI,36431.0,0.15509548988054186,0.5112044676912182,15.0
1976,2,15,0.06880733944954129,GY,40.0,0.0001702895774264136,0.7517915409077092,9.0
1976,3,13,0.05963302752293578,GI,41.0,0.00017454681686207395,0.7207950848120402,9.0
1977,0,82,0.3761467889908257,NZ,192750.0,0.7665722785192727,0.4213539638144034,73.0
1977,1,55,0.25229357798165136,PL,58412.0,0.23230619939231,0.4701182315562282,35.0
1977,2,17,0.0779816513761468,NI,198.0,0.0007874516791015097,0.721045538002774,9.0
1977,3,18,0.08256880733944955,BF,84.0,0.000334070409315792,0.675051954578487,10.0
1978,0,62,0.28440366972477066,AU,199663.0,0.7485360166155554,0.41315090019582806,53.0
1978,1,51,0.23394495412844038,IN,65373.0,0.24508319024660905,0.47728664363982964,37.0
1978,2,33,0.15137614678899083,EC,1461.0,0.005477284826308962,0.5699787345088452,12.0
1978,3,28,0.12844036697247707,GA,241.0,0.0009035083115266666,0.6508708017362408,15.0
1979,0,63,0.2889908256880734,AU,210096.0,0.7520268601475447,0.4404012751006402,44.0
1979,1,56,0.25688073394495414,SK,67204.0,0.240552952504358,0.5080054973151974,39.0
1979,2,46,0.21100917431192662,CM,1866.0,0.006679242446478364,0.5605913512448624,16.0
1979,3,15,0.06880733944954129,SR,207.0,0.0007409449016189825,0.7142482241833855,5.0
1980,0,78,0.3577981651376147,ZA,224329.0,0.7477658258860863,0.42379094568984227,48.0
1980,1,43,0.19724770642201836,SK,75001.0,0.2500041666805556,0.4908530331735368,38.0
1980,2,31,0.14220183486238533,MU,506.0,0.0016866722889076298,0.5791523554202005,18.0
1980,3,21,0.0963302752293578,PS,163.0,0.0005433351444504815,0.7179193849180249,7.0
1981,0,97,0.44495412844036697,CL,236424.0,0.7377644635835986,0.4534969541104898,64.0
1981,1,54,0.24770642201834864,CN,83811.0,0.2615334207077326,0.48565615682709995,38.0
1981,2,9,0.04128440366972477,TG,32.0,9.985645634400549e-05,0.7490930304169685,3.0
1981,3,18,0.08256880733944955,NC,193.0,0.0006022592523247831,0.7075637276818796,8.0
1982,0,81,0.37155963302752293,AU,244946.0,0.7481985820802063,0.4610620462522853,65.0
1982,1,60,0.27522935779816515,CN,81300.0,0.24833450933316228,0.49453930025974735,41.0
1982,2,15,0.06880733944954129,ST,52.0,0.00015883634053289592,0.742508371621401,5.0
1982,3,27,0.12385321100917432,CR,1083.0,0.0033080722460985825,0.535523415974446,8.0
1983,0,91,0.41743119266055045,IL,318664.0,0.9295807516831776,0.4518431507367539,67.0
