subfield_id,counts_all,counts_individual,counts_collab,probability_all,probability_individual,probability_collab,counts_individual_pct,counts_collab_pct,year
1100,641,621,20.0,0.0032292191435768264,0.0032186672333456,0.003595182455509617,96.8798751950078,3.1201248049921997,1970
1102,833,807,26.0,0.004196473551637279,0.00418271249164235,0.004673737192162502,96.87875150060023,3.12124849939976,1970
1103,1500,1463,37.0,0.007556675062972292,0.007582786090796477,0.006651087542692792,97.53333333333333,2.466666666666667,1970
1104,427,410,17.0,0.002151133501259446,0.00212504599947133,0.0030559050871831746,96.01873536299766,3.9812646370023423,1970
1105,2068,1999,69.0,0.010418136020151134,0.01036089500717851,0.012403379471508179,96.66344294003868,3.3365570599613155,1970
1106,1489,1442,47.0,0.007501259445843829,0.0074739422713113604,0.008448678770447601,96.84351914036266,3.15648085963734,1970
1107,114,103,11.0,0.0005743073047858943,0.0005338530193793829,0.0019773503505302894,90.35087719298247,9.649122807017543,1970
1108,28,25,3.0,0.00014105793450881613,0.00012957597557752013,0.0005392773683264426,89.28571428571429,10.714285714285714,1970
1109,1128,1090,38.0,0.005682619647355164,0.005649512535179878,0.006830846665468272,96.63120567375887,3.368794326241135,1970
1110,5139,4956,183.0,0.025889168765743074,0.02568714139848759,0.032895919467912996,96.43899591360187,3.561004086398132,1970
1111,406,382,24.0,0.002045340050377834,0.0019799209068245074,0.004314218946611541,94.08866995073892,5.911330049261084,1970
1200,52,52,,0.0002619647355163728,0.00026951802920124185,,100.0,,1970
1202,1486,1478,8.0,0.007486146095717884,0.00766053167614299,0.0014380729822038468,99.46164199192464,0.5383580080753702,1970
1203,901,884,17.0,0.004539042821158691,0.004581806496421112,0.0030559050871831746,98.11320754716981,1.8867924528301887,1970
1204,742,724,18.0,0.003738035264483627,0.003752520252724983,0.0032356642099586556,97.57412398921834,2.4258760107816713,1970
1205,303,299,4.0,0.001526448362720403,0.0015497286679071406,0.0007190364911019234,98.67986798679867,1.3201320132013201,1970
1206,126,123,3.0,0.0006347607052896725,0.000637513799841399,0.0005392773683264426,97.61904761904762,2.380952380952381,1970
1207,556,549,7.0,0.002801007556675063,0.002845488423682342,0.001258313859428366,98.7410071942446,1.2589928057553956,1970
1208,961,952,9.0,0.004841309823677582,0.004934253149991966,0.0016178321049793278,99.06347554630594,0.9365244536940687,1970
1209,235,231,4.0,0.0011838790931989925,0.0011972820143362859,0.0007190364911019234,98.29787234042553,1.702127659574468,1970
1210,190,190,,0.0009571788413098237,0.000984777414389153,,100.0,,1970
1211,1220,1211,9.0,0.006146095717884131,0.006276660256975075,0.0016178321049793278,99.26229508196721,0.7377049180327869,1970
1212,517,517,,0.0026045340050377835,0.002679631174943116,,100.0,,1970
1213,333,331,2.0,0.0016775818639798489,0.0017155859166463664,0.0003595182455509617,99.3993993993994,0.6006006006006006,1970
1302,20,19,1.0,0.00010075566750629723,9.84777414389153e-05,0.00017975912277548085,95.0,5.0,1970
1303,819,799,20.0,0.004125944584382871,0.004141248179457543,0.003595182455509617,97.55799755799755,2.442002442002442,1970
1304,343,328,15.0,0.0017279596977329975,0.001700036799577064,0.002696386841632213,95.6268221574344,4.373177842565598,1970
1305,558,550,8.0,0.0028110831234256927,0.002850671462705443,0.0014380729822038468,98.56630824372759,1.4336917562724014,1970
1306,461,449,12.0,0.002322418136020151,0.0023271845213722613,0.0021571094733057704,97.39696312364426,2.6030368763557483,1970
1307,1678,1644,34.0,0.008453400503778338,0.008520916153977723,0.006111810174366349,97.97377830750894,2.026221692491061,1970
1308,631,622,9.0,0.0031788413098236775,0.003223850272368701,0.0016178321049793278,98.57369255150554,1.4263074484944533,1970
1309,94,92,2.0,0.000473551637279597,0.00047683959012527407,0.0003595182455509617,97.87234042553192,2.127659574468085,1970
1310,258,247,11.0,0.0012997481108312343,0.0012802106387058989,0.0019773503505302894,95.73643410852713,4.263565891472868,1970
1311,2728,2645,83.0,0.013743073047858942,0.013709138216101629,0.01492000719036491,96.9574780058651,3.0425219941348973,1970
1312,10420,10139,281.0,0.05249370277078086,0.05255083265521906,0.05051231349991012,97.30326295585414,2.6967370441458733,1970
1313,87,86,1.0,0.00043828715365239293,0.0004457413559866692,0.00017975912277548085,98.85057471264368,1.1494252873563218,1970
1314,218,209,9.0,0.0010982367758186398,0.0010832551558280683,0.0016178321049793278,95.87155963302753,4.128440366972478,1970
1315,22,21,1.0,0.00011083123425692695,0.0001088438194851169,0.00017975912277548085,95.45454545454545,4.545454545454546,1970
1402,341,331,10.0,0.0017178841309823678,0.0017155859166463664,0.0017975912277548086,97.0674486803519,2.932551319648094,1970
1403,4,3,1.0,2.0151133501259446e-05,1.5549117069302416e-05,0.00017975912277548085,75.0,25.0,1970
1404,256,251,5.0,0.0012896725440806045,0.001300942794798302,0.0008987956138774043,98.046875,1.953125,1970
1405,184,179,5.0,0.0009269521410579345,0.000927763985135044,0.0008987956138774043,97.28260869565217,2.717391304347826,1970
1406,243,239,4.0,0.0012241813602015114,0.0012387463265210923,0.0007190364911019234,98.35390946502058,1.646090534979424,1970
1407,248,236,12.0,0.0012493702770780856,0.00122319720945179,0.0021571094733057704,95.16129032258065,4.838709677419355,1970
1408,584,575,9.0,0.002942065491183879,0.002980247438282963,0.0016178321049793278,98.45890410958904,1.5410958904109588,1970
1409,22,22,,0.00011083123425692695,0.0001140268585082177,,100.0,,1970
1410,1,1,,5.0377833753148614e-06,5.1830390231008045e-06,,100.0,,1970
1502,360,351,9.0,0.0018136020151133501,0.0018192466971083826,0.0016178321049793278,97.5,2.5,1970
1503,314,306,8.0,0.0015818639798488665,0.0015860099410688463,0.0014380729822038468,97.45222929936305,2.547770700636943,1970
1504,32,32,,0.00016120906801007557,0.00016585724873922574,,100.0,,1970
1506,144,140,4.0,0.00072544080604534,0.0007256254632341127,0.0007190364911019234,97.22222222222221,2.7777777777777777,1970
1507,581,568,13.0,0.0029269521410579345,0.002943966165121257,0.002336868596081251,97.76247848537005,2.2375215146299485,1970
1508,56,55,1.0,0.00028211586901763226,0.00028506714627054425,0.00017975912277548085,98.21428571428571,1.7857142857142856,1970
1602,639,627,12.0,0.0032191435768261964,0.0032497654674842045,0.0021571094733057704,98.12206572769952,1.8779342723004695,1970
1603,566,556,10.0,0.0028513853904282116,0.0028817696968440475,0.0017975912277548086,98.23321554770318,1.76678445229682,1970
1604,1366,1326,40.0,0.006881612090680101,0.006872709744631667,0.007190364911019234,97.07174231332357,2.9282576866764276,1970
