index,country,from_start,diag
1970,AE,0.0,0.0
1971,AE,0.18828828828828828,0.18828828828828828
1972,AE,0.9,0.7747747747747747
1973,AE,0.7575289575289574,0.18018018018018017
1974,AE,0.9099099099099098,0.19948519948519952
1975,AE,0.8018018018018018,0.5495495495495496
1976,AE,0.43363363363363366,0.5045045045045045
1977,AE,0.6531531531531531,0.26426426426426425
1978,AE,0.5687687687687688,0.1051051051051051
1979,AE,0.4306306306306307,0.3003003003003003
1980,AE,0.5045045045045045,0.6216216216216216
1981,AE,0.3851994851994852,0.5740025740025739
1982,AE,0.5036036036036035,0.5752895752895753
1983,AE,0.6525096525096524,0.9999999999999998
1984,AE,0.6606606606606606,0.5238095238095237
1985,AE,0.3942084942084942,0.4701844701844701
1986,AE,0.60990990990991,0.47824967824967823
1987,AE,0.542997542997543,0.0888615888615889
1988,AE,0.3324324324324325,0.35503685503685495
1989,AE,0.5855855855855856,0.3807807807807807
1990,AE,0.5634384384384384,0.29617117117117125
1991,AE,0.5045045045045045,0.21451258951258956
1992,AE,0.5211365211365212,0.16424116424116422
1993,AE,0.3985803985803986,0.27008127008127003
1994,AE,0.4941537281962814,0.1536933451827068
1995,AE,0.40465465465465467,0.11740064532617724
1996,AE,0.5665524679609186,0.1797281436365943
1997,AE,0.4854526657805346,0.10915024930263909
1998,AE,0.37730951290273324,0.17531146039064907
1999,AE,0.5640715342207879,0.2991547074522031
2000,AE,0.564236505412976,0.08114096788372469
2001,AE,0.5839295177530471,0.04902907108789461
2002,AE,0.6358616681197325,0.1002611245021112
2003,AE,0.5203169974954208,0.15553449313320813
2004,AE,0.45480311772446597,0.08944241924800467
2005,AE,0.5294804891346677,0.09151861442765828
2006,AE,0.5015308707240248,0.059665839609893745
2007,AE,0.5178538862749389,0.08414924333081585
2008,AE,0.4548295976867404,0.08344605337086543
2009,AE,0.47339659408624934,0.07147035718464288
2010,AE,0.4221768130469985,0.058194441808982575
2011,AE,0.4751414079145172,0.062424075154987796
2012,AE,0.46804504504504507,0.02438833911943155
2013,AE,0.4470091442568507,0.03142599313241516
2014,AE,0.42786878101321774,0.051477703659059564
2015,AE,0.46979361359163774,0.06372239619572953
2016,AE,0.44073623525678324,0.0415142001799747
2017,AE,0.46430967829833614,0.04153524119601241
2018,AE,0.46222639939764426,0.01602856780297535
2019,AE,0.47661626203860535,0.02520470758765359
2020,AE,0.47448611009931757,0.024750424186828456
2021,AE,0.45779489990887806,0.01910237237591301
2022,AE,0.45967355390386844,0.01082865136046134
1970,AF,0.0,0.0
1971,AF,0.9999999999999998,0.9999999999999998
1972,AF,1.0,0.3363363363363363
1975,AF,0.009009009009009009,1.0
1976,AF,1.0,1.0
1977,AF,1.0,1.0
1979,AF,1.0,1.0
1981,AF,0.6696696696696697,1.0
1982,AF,1.0,0.6696696696696697
1984,AF,0.009009009009009009,1.0
1988,AF,1.0,1.0
1989,AF,1.0,1.0
1990,AF,1.0,0.5495495495495496
1992,AF,0.009009009009009009,1.0
1993,AF,0.009009009009009009,0.009009009009009009
1994,AF,1.0,1.0
1996,AF,1.0,0.09909909909909909
1997,AF,1.0,1.0
1998,AF,0.009009009009009009,1.0
2000,AF,0.009009009009009009,0.0
2001,AF,1.0,1.0
2002,AF,0.0,1.0
2003,AF,1.0,1.0
2004,AF,0.05405405405405405,1.0
2005,AF,0.6666666666666666,0.6696696696696697
2006,AF,1.0,0.3663663663663663
2007,AF,0.3793793793793793,0.6896896896896896
2008,AF,0.4794794794794794,0.22422422422422414
2009,AF,0.5904995904995906,0.26135226135226136
2010,AF,0.8757507507507506,0.3747269997269997
2011,AF,0.7502047502047502,0.2604081354081354
2012,AF,0.6612612612612612,0.2961834561834561
2013,AF,0.794976794976795,0.19699699699699694
2014,AF,0.7548262548262548,0.15750165750165745
2015,AF,0.8503276003276002,0.29680004680004674
2016,AF,0.8888572783309625,0.3391460838829259
2017,AF,0.7229729729729728,0.21441836573415518
2018,AF,0.7101299773055498,0.061435481282809505
2019,AF,0.7779922779922779,0.09976519594840204
2020,AF,0.7575865339023232,0.06533112059427848
2021,AF,0.7775580458507286,0.07161236975100901
2022,AF,0.7370621742819051,0.120506046897822
1970,AG,0.0,0.0
1980,AG,0.009009009009009009,0.009009009009009009
1989,AG,0.009009009009009009,0.009009009009009009
1991,AG,1.0,1.0
1995,AG,0.009009009009009009,1.0
1996,AG,0.05405405405405405,0.05405405405405405
1997,AG,0.6696696696696697,0.6696696696696697
1998,AG,0.25675675675675674,0.4196696696696696
1999,AG,0.009009009009009009,0.25675675675675674
2000,AG,0.009009009009009009,0.009009009009009009
2002,AG,0.009009009009009009,0.009009009009009009
2004,AG,0.009009009009009009,0.009009009009009009
2006,AG,0.009009009009009009,0.009009009009009009
2007,AG,0.6036036036036035,0.6036036036036035
2008,AG,0.4054054054054053,0.3144144144144145
2009,AG,0.5817245817245816,0.22651222651222655
2010,AG,0.1634491634491635,0.4395109395109394
2011,AG,0.3543543543543543,0.2045259545259544
2012,AG,0.4042303172737955,0.27183705444575
2013,AG,0.490403446925186,0.19702311006658832
2014,AG,0.43269740328563855,0.1331881753876639
2015,AG,0.46396396396396394,0.08793057763645998
2016,AG,0.4846846846846847,0.16369369369369371
2017,AG,0.44864864864864856,0.10018018018018018
2018,AG,0.29259694477085785,0.17979631805718757
2019,AG,0.29486629486629484,0.06382158556071602
2020,AG,0.2072072072072072,0.09935683191497147
2021,AG,0.23650101714617838,0.06637267424964342
2022,AG,0.23798492369920937,0.033854657817791414
1970,AL,0.0,0.0
1976,AL,1.0,1.0
1977,AL,1.0,0.5495495495495496
1978,AL,0.8712998712998712,0.2554697554697555
1979,AL,0.8198198198198199,0.12998712998713002
1980,AL,0.8712998712998712,0.2844272844272844
1981,AL,0.646191646191646,0.43641043641043636
1982,AL,0.5895895895895895,0.3794703794703794
1983,AL,0.8348348348348348,0.6186186186186187
1984,AL,0.6846846846846847,0.36636636636636627
1985,AL,0.9999999999999998,0.3453453453453453
1986,AL,0.6396396396396397,0.4401544401544401
1987,AL,0.8198198198198199,0.24324324324324323
1988,AL,1.0,0.8018018018018018
1989,AL,1.0,0.6996996996996997
1990,AL,0.8712998712998712,0.2578292578292578
1991,AL,0.601029601029601,0.5868725868725868
1992,AL,0.7997997997997998,0.643071643071643
1993,AL,0.5785785785785785,0.6776776776776777
1994,AL,0.3686186186186186,0.46696696696696693
1995,AL,0.7775467775467775,0.45437745437745447
1996,AL,0.5664414414414414,0.2503031878031879
1997,AL,0.8642213642213641,0.3711389961389961
1998,AL,0.7842842842842843,0.22329472329472316
1999,AL,0.7207207207207207,0.24984984984984987
2000,AL,0.7897897897897898,0.2548548548548549
2001,AL,0.8198198198198198,0.13606463606463604
2002,AL,0.7130463797130462,0.22970589637256306
2003,AL,0.6017069701280227,0.30138910840665223
2004,AL,0.8280098280098279,0.4050390103021681
2005,AL,0.735942839391115,0.12492586630517659
2006,AL,0.7972972972972974,0.3189655172413793
2007,AL,0.8005148005148004,0.34612290862290856
2008,AL,0.8321851263027732,0.18544805309511186
2009,AL,0.8406098406098406,0.11722582310817606
2010,AL,0.864213611201563,0.08952024313470087
2011,AL,0.855638771301422,0.06707912732009125
2012,AL,0.8792409430707302,0.11542085535933272
2013,AL,0.846681036865086,0.07424876906667792
2014,AL,0.8489219556635286,0.057674549161417586
2015,AL,0.8395217647554095,0.08002058553355414
2016,AL,0.8553977706520078,0.0682301975664877
2017,AL,0.9114925736547357,0.07846187919481547
2018,AL,0.8970350947962887,0.04303294823665942
2019,AL,0.8838383838383839,0.07246374597120861
2020,AL,0.9067977067977068,0.050149175149175176
2021,AL,0.853062853062853,0.10491490491490492
2022,AL,0.8948308649801185,0.10035095109721971
1970,AM,0.0,0.0
1971,AM,0.30716430716430715,0.30716430716430715
1972,AM,0.21396396396396397,0.17674817674817672
1973,AM,0.26190476190476186,0.215000715000715
1974,AM,0.37567567567567567,0.26310596310596307
1975,AM,0.11520611520611519,0.33224133224133223
1976,AM,0.3078078078078078,0.26681226681226683
